1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nutzung	Qel_MFH_groﬂ	WW_MFH_groﬂ	EW_MFH_groﬂ	WindAPG_2013	WindAPG_2014	WindAPG_2015	Wind_2030_TU	WEB_2013	WEB_2014	WEB_2015	WEB_2016	CO2_Strommix_2015	CO2_Strommix_2050opti	Laufwasser	PV	Wind	Nachfrage	Differenz1	Biomasse_opt	Differenz2	Geothermie_opt	Differenz3	‹berschuss_2050	Unterschuss_2050	Taussen_48Stunden	IGS_48Stunden	IGN_48Stunden	Leistung Klein
Einheit	KW_ges1000000kWh/a	KW_ges1000000kWh/a	100_EW	1.37	2.176	2.549	6.677	0	0	4.53	0	52.4	453.5	9	9.5	4.4	13	10.6	0.3	10.3	2.5	7.8	9.4	7.8	ta                       	igs                      	ign                      	Pklein
Dienstleistung	Lastsyn	WW	Anzahl_Pers	GW	GW	GW	GW	MW	MW	MW	MW	CO2 [g/kWh]	CO2 [g/kWh]	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	∞C	W/m≤	W/m≤	W
51	38.65	52.99	80	0.301516	1.303961	0.679576	5.056819676	0	0	2.112699	0	30.83310083	231.7579434	2.740123414	0	2.6600835	7.023550252	1.623343337	0.270098507	1.353244831	2.467812283	-1.114567452	1.114567452	0	-4.65	0	0	0
52	39.28	52.99	80	0.2863893	1.2407665	0.6785383	4.505166622	0	0	2.915094	0	31.06827271	244.9579979	2.835380226	0	2.5311657	6.682329299	1.315783373	0.270098507	1.045684867	2.467812283	-1.422127416	1.422127416	0	-4.8	0	0	0
53	47.06	106.85	80	0.294275	1.1457518	0.6150783	4.345362361	0	0	4.254531	0	31.50774878	234.1727986	2.890431944	0	2.3373351	6.737700621	1.509933577	0.270098507	1.23983507	2.467812283	-1.227977213	1.227977213	0	-4.7	0	0	0
54	90.43	159.84	80	0.2808205	1.4230128	0.466634	4.612432487	0	0	3.430176	0	30.45752589	230.2805243	2.4816621	0	2.9029455	6.943383883	1.558776284	0.270098507	1.288677777	2.467812283	-1.179134506	1.179134506	0	-4.15	0	0	0
55	129.91	266.69	80	0.266316	1.366091	0.4882425	4.654025382	0	0	2.331432	0	30.80141079	249.6956791	2.409054519	0	2.7868236	6.94017209	1.744293971	0.270098507	1.474195465	2.467812283	-0.993616819	0.993616819	0	-3.85	0	0	0
56	134.02	266.69	60	0.2619725	1.3232223	0.4664113	4.540192208	0	0	2.84637	0	31.28329881	257.4292455	2.152218747	0.013036495	2.6993739	7.133779008	2.269149867	0.270098507	1.99905136	2.467812283	-0.468760923	0.468760923	0	-3.55	3.097014626	3.097014626	3.097014626
57	123.68	212.82	30	0.2608048	1.296334	0.422602	5.045874175	0	0	2.889294	0	31.86519672	266.0653686	1.878043851	0.09853425	2.6445234	7.034984237	2.413882736	0.270098507	2.143784229	2.467812283	-0.324028054	0.324028054	0	-2.65	78.95789794	23.93855308	23.93855308
58	116.68	133.35	30	0.2584963	1.0586523	0.361905	5.987186931	0	0	1.887333	0	33.64555154	276.3654237	1.977960552	0.37025698	2.15965365	7.209962753	2.702091571	0.270098507	2.431993064	2.467812283	-0.035819219	0.035819219	0	-1.5	342.6860331	52.58151488	52.58151488
59	118.79	106.85	30	0.2914568	0.903413	0.3136955	6.136045691	0	0	2.652621	0	34.9075233	269.733309	2.191448514	0.756811911	1.84296252	7.271886133	2.480663188	0.270098507	2.210564682	2.467812283	-0.257247602	0.257247602	0	-0.45	598.7299176	65.87323943	65.87323943
60	131.21	159.84	30	0.3362843	0.7180493	0.2487693	5.781411584	0	0	3.662928	0	35.9490045	275.2465768	2.5726925	1.084142709	1.46482047	7.275740286	2.154084607	0.270098507	1.8839861	2.467812283	-0.583826183	0.583826183	0	-0.2	545.8600947	72.65981553	72.65981553
